,Category,F1-Score
0,ARTS,0.021897810218978103
1,ARTS & CULTURE,0.04984423676012461
2,BLACK VOICES,0.19383587077608616
3,BUSINESS,0.27268475210477083
4,COLLEGE,0.11294765840220386
5,COMEDY,0.12529156947684106
6,CRIME,0.27414634146341466
7,CULTURE & ARTS,0.0
8,DIVORCE,0.0
9,EDUCATION,0.18617021276595744
10,ENTERTAINMENT,0.3693686078945144
11,ENVIRONMENT,0.09800918836140889
12,FIFTY,0.18494623655913978
13,FOOD & DRINK,0.439449283506603
14,GOOD NEWS,0.08294930875576037
15,GREEN,0.17174515235457063
16,HEALTHY LIVING,0.16978967495219885
17,HOME & LIVING,0.2306064880112835
18,IMPACT,0.15343633457645178
19,LATINO VOICES,0.021739130434782608
20,MEDIA,0.17801753202966958
21,MONEY,0.0
22,PARENTING,0.11594900168390666
23,PARENTS,0.182787103650413
24,POLITICS,0.5446735395189003
25,QUEER VOICES,0.33360096346848656
26,RELIGION,0.03873598369011213
27,SCIENCE,0.03881278538812785
28,SPORTS,0.41722846441947564
29,STYLE,0.0606826801517067
30,STYLE & BEAUTY,0.5049805110437419
31,TASTE,0.0
32,TECH,0.04588394062078273
33,THE WORLDPOST,0.1375515818431912
34,TRAVEL,0.4614785992217899
35,U.S. NEWS,0.0027137042062415195
36,WEDDINGS,0.0
37,WEIRD NEWS,0.12956419316843346
38,WELLNESS,0.4229858941588564
39,WOMEN,0.11932418162618796
40,WORLD NEWS,0.1284153005464481
41,WORLDPOST,0.16901408450704225
