,Category,F1-Score
0,ARTS,0.21805392731535755
1,ARTS & CULTURE,0.18413597733711048
2,BLACK VOICES,0.3117469879518072
3,BUSINESS,0.3934326543022195
4,COLLEGE,0.29958391123439665
5,COMEDY,0.33854645814167433
6,CRIME,0.4511415525114155
7,CULTURE & ARTS,0.2673107890499195
8,DIVORCE,0.5935302390998594
9,EDUCATION,0.2950257289879931
10,ENTERTAINMENT,0.560982800982801
11,ENVIRONMENT,0.2854006586169045
12,FIFTY,0.1884498480243161
13,FOOD & DRINK,0.5766903446461458
14,GOOD NEWS,0.1915367483296214
15,GREEN,0.2662420382165605
16,HEALTHY LIVING,0.22880343921662288
17,HOME & LIVING,0.6285714285714286
18,IMPACT,0.2469252601702933
19,LATINO VOICES,0.14457831325301204
20,MEDIA,0.29945945945945945
21,MONEY,0.32238193018480493
22,PARENTING,0.4388691256319041
23,PARENTS,0.2080745341614907
24,POLITICS,0.7091121495327103
25,QUEER VOICES,0.5516023214736311
26,RELIGION,0.3424242424242424
27,SCIENCE,0.34069400630914826
28,SPORTS,0.6098155238426731
29,STYLE,0.21905476369092272
30,STYLE & BEAUTY,0.6552980132450331
31,TASTE,0.19594594594594594
32,TECH,0.4101694915254237
33,THE WORLDPOST,0.36372007366482506
34,TRAVEL,0.6377107818088912
35,U.S. NEWS,0.0855457227138643
36,WEDDINGS,0.6343537414965986
37,WEIRD NEWS,0.20901371652514697
38,WELLNESS,0.5484790000919033
39,WOMEN,0.23044096728307253
40,WORLD NEWS,0.2571595558153127
41,WORLDPOST,0.24743677375256323
