,Category,F1-Score
0,ARTS,0.2219679633867277
1,ARTS & CULTURE,0.20212765957446807
2,BLACK VOICES,0.34698608964451316
3,BUSINESS,0.4066193853427896
4,COLLEGE,0.3372093023255814
5,COMEDY,0.3791293609138623
6,CRIME,0.4730100640439158
7,CULTURE & ARTS,0.3152542372881356
8,DIVORCE,0.6319737458977965
9,EDUCATION,0.3126050420168067
10,ENTERTAINMENT,0.5977675901933427
11,ENVIRONMENT,0.30242825607064017
12,FIFTY,0.21830985915492956
13,FOOD & DRINK,0.5860709592641261
14,GOOD NEWS,0.22153209109730848
15,GREEN,0.2918011620400258
16,HEALTHY LIVING,0.26005172819186456
17,HOME & LIVING,0.6284615384615385
18,IMPACT,0.2622201918684331
19,LATINO VOICES,0.23972602739726026
20,MEDIA,0.34845132743362833
21,MONEY,0.3284823284823285
22,PARENTING,0.45975702353834474
23,PARENTS,0.2504938759383643
24,POLITICS,0.7196969696969697
25,QUEER VOICES,0.5685432971471851
26,RELIGION,0.37648705388383485
27,SCIENCE,0.4414976599063963
28,SPORTS,0.6253424657534247
29,STYLE,0.21517027863777088
30,STYLE & BEAUTY,0.6582072555718237
31,TASTE,0.22276422764227644
32,TECH,0.38222967309304273
33,THE WORLDPOST,0.3777466105656849
34,TRAVEL,0.6753028263795424
35,U.S. NEWS,0.08955223880597014
36,WEDDINGS,0.6524204099433057
37,WEIRD NEWS,0.2657718120805369
38,WELLNESS,0.5651335720187276
39,WOMEN,0.25384234010907286
40,WORLD NEWS,0.2999446596568899
41,WORLDPOST,0.29086057371581053
