,Category,F1-Score
0,ARTS,0.5026624068157615
1,ARTS & CULTURE,0.5
2,BLACK VOICES,0.5011021307861866
3,BUSINESS,0.5455077553409423
4,COLLEGE,0.47875354107648727
5,COMEDY,0.5467128027681661
6,CRIME,0.5896927651139743
7,CULTURE & ARTS,0.5346153846153846
8,DIVORCE,0.800798801797304
9,EDUCATION,0.42784380305602715
10,ENTERTAINMENT,0.7466691686995685
11,ENVIRONMENT,0.5108108108108108
12,FIFTY,0.42894736842105263
13,FOOD & DRINK,0.7557071634741538
14,GOOD NEWS,0.2937249666221629
15,GREEN,0.47052280311457173
16,HEALTHY LIVING,0.4959785522788204
17,HOME & LIVING,0.7972350230414746
18,IMPACT,0.38538538538538536
19,LATINO VOICES,0.46688741721854304
20,MEDIA,0.5548387096774193
21,MONEY,0.5456369107321966
22,PARENTING,0.7014576210185351
23,PARENTS,0.4678362573099415
24,POLITICS,0.8172640548300454
25,QUEER VOICES,0.7513988808952837
26,RELIGION,0.6139731827805223
27,SCIENCE,0.5870646766169154
28,SPORTS,0.744022951864839
29,STYLE,0.5429864253393665
30,STYLE & BEAUTY,0.8539363484087102
31,TASTE,0.4752163650668765
32,TECH,0.5791090629800307
33,THE WORLDPOST,0.5798245614035088
34,TRAVEL,0.8256910569105691
35,U.S. NEWS,0.3155080213903743
36,WEDDINGS,0.8353765323992994
37,WEIRD NEWS,0.4242828552368246
38,WELLNESS,0.7756325487084546
39,WOMEN,0.39725355566454146
40,WORLD NEWS,0.45837615621788286
41,WORLDPOST,0.629940119760479
