,Category,F1-Score
0,ARTS,0.10894941634241245
1,ARTS & CULTURE,0.0691358024691358
2,BLACK VOICES,0.31062047963456413
3,BUSINESS,0.25998198739117384
4,COLLEGE,0.20833333333333334
5,COMEDY,0.2308810700785112
6,CRIME,0.37646001796945194
7,CULTURE & ARTS,0.1442495126705653
8,DIVORCE,0.4652542372881356
9,EDUCATION,0.30149253731343284
10,ENTERTAINMENT,0.4656606097936557
11,ENVIRONMENT,0.15816857440166493
12,FIFTY,0.12333965844402277
13,FOOD & DRINK,0.48442323884367106
14,GOOD NEWS,0.08505997818974918
15,GREEN,0.14795244385733158
16,HEALTHY LIVING,0.19314641744548286
17,HOME & LIVING,0.44919786096256686
18,IMPACT,0.1821138211382114
19,LATINO VOICES,0.045889101338432124
20,MEDIA,0.1874180865006553
21,MONEY,0.1972093023255814
22,PARENTING,0.3919491525423729
23,PARENTS,0.17209813255217868
24,POLITICS,0.6569414268611715
25,QUEER VOICES,0.45744151319064214
26,RELIGION,0.2729613733905579
27,SCIENCE,0.3880037488284911
28,SPORTS,0.47929644558446316
29,STYLE,0.14045801526717558
30,STYLE & BEAUTY,0.5241334629089731
31,TASTE,0.19754866618601297
32,TECH,0.18615751789976134
33,THE WORLDPOST,0.23861852433281006
34,TRAVEL,0.5563282336578581
35,U.S. NEWS,0.019662921348314606
36,WEDDINGS,0.5149925037481259
37,WEIRD NEWS,0.12889518413597734
38,WELLNESS,0.4509297980247353
39,WOMEN,0.20471161657189277
40,WORLD NEWS,0.16666666666666666
41,WORLDPOST,0.15847860538827258
