,Category,F1-Score
0,ARTS,0.33698030634573306
1,ARTS & CULTURE,0.05442176870748299
2,BLACK VOICES,0.26916221033868093
3,BUSINESS,0.5006505334374187
4,COLLEGE,0.4310077519379845
5,COMEDY,0.379382889200561
6,CRIME,0.5328525641025641
7,CULTURE & ARTS,0.2446351931330472
8,DIVORCE,0.7076612903225806
9,EDUCATION,0.26879271070615035
10,ENTERTAINMENT,0.6812677145065704
11,ENVIRONMENT,0.14960629921259844
12,FIFTY,0.0
13,FOOD & DRINK,0.6991535117822009
14,GOOD NEWS,0.009389671361502348
15,GREEN,0.38171185539606595
16,HEALTHY LIVING,0.3208678275763631
17,HOME & LIVING,0.6890362856028092
18,IMPACT,0.2624487404803749
19,LATINO VOICES,0.0
20,MEDIA,0.4671616219303255
21,MONEY,0.36545682102628285
22,PARENTING,0.6364223442040684
23,PARENTS,0.34951456310679613
24,POLITICS,0.7747513663650211
25,QUEER VOICES,0.6772151898734177
26,RELIGION,0.5528781793842035
27,SCIENCE,0.5058479532163743
28,SPORTS,0.7241602067183462
29,STYLE,0.29980276134122286
30,STYLE & BEAUTY,0.7821067821067821
31,TASTE,0.08403361344537816
32,TECH,0.5066250974279034
33,THE WORLDPOST,0.4803637866887143
34,TRAVEL,0.7653198653198653
35,U.S. NEWS,0.0
36,WEDDINGS,0.7520135650699449
37,WEIRD NEWS,0.33062330623306235
38,WELLNESS,0.7121034077555817
39,WOMEN,0.29414758269720104
40,WORLD NEWS,0.21080720480320214
41,WORLDPOST,0.36363636363636365
