,Category,F1-Score
0,ARTS,0.28216704288939054
1,ARTS & CULTURE,0.19220055710306408
2,BLACK VOICES,0.40771558245083206
3,BUSINESS,0.45931386447405725
4,COLLEGE,0.35260115606936415
5,COMEDY,0.409148665819568
6,CRIME,0.5250227479526842
7,CULTURE & ARTS,0.30018083182640143
8,DIVORCE,0.6905204460966543
9,EDUCATION,0.34179357021996615
10,ENTERTAINMENT,0.6477564736113857
11,ENVIRONMENT,0.3036773428232503
12,FIFTY,0.2812846068660022
13,FOOD & DRINK,0.6117340286831813
14,GOOD NEWS,0.2422907488986784
15,GREEN,0.3707258548290342
16,HEALTHY LIVING,0.2982791586998088
17,HOME & LIVING,0.6866589773164168
18,IMPACT,0.2927298988926336
19,LATINO VOICES,0.3471337579617834
20,MEDIA,0.45673603504928806
21,MONEY,0.38004246284501064
22,PARENTING,0.5107109004739336
23,PARENTS,0.2976
24,POLITICS,0.7507455154379044
25,QUEER VOICES,0.6322514694607718
26,RELIGION,0.4101508916323731
27,SCIENCE,0.45392231530845395
28,SPORTS,0.6743088334457181
29,STYLE,0.28994082840236685
30,STYLE & BEAUTY,0.7128213745588977
31,TASTE,0.2610759493670886
32,TECH,0.459552495697074
33,THE WORLDPOST,0.459045904590459
34,TRAVEL,0.7364211929356881
35,U.S. NEWS,0.22911051212938005
36,WEDDINGS,0.7239373601789709
37,WEIRD NEWS,0.31984074319840744
38,WELLNESS,0.6069873042350107
39,WOMEN,0.27837459131247083
40,WORLD NEWS,0.4192513368983957
41,WORLDPOST,0.34282178217821785
