,Category,F1-Score
0,ARTS,0.2676056338028169
1,ARTS & CULTURE,0.22
2,BLACK VOICES,0.3951255539143279
3,BUSINESS,0.4473759678806997
4,COLLEGE,0.39882697947214074
5,COMEDY,0.40258899676375404
6,CRIME,0.5135623869801085
7,CULTURE & ARTS,0.3411978221415608
8,DIVORCE,0.6967022758941013
9,EDUCATION,0.3235294117647059
10,ENTERTAINMENT,0.6405384006334125
11,ENVIRONMENT,0.32189349112426036
12,FIFTY,0.26135105204872644
13,FOOD & DRINK,0.6121164437450826
14,GOOD NEWS,0.24444444444444444
15,GREEN,0.34707692307692306
16,HEALTHY LIVING,0.2933145009416196
17,HOME & LIVING,0.6800773694390716
18,IMPACT,0.2886100386100386
19,LATINO VOICES,0.32507739938080493
20,MEDIA,0.4547413793103448
21,MONEY,0.3902439024390244
22,PARENTING,0.4977168949771689
23,PARENTS,0.3054108216432866
24,POLITICS,0.7480466954683335
25,QUEER VOICES,0.6196038598273235
26,RELIGION,0.4183098591549296
27,SCIENCE,0.44095665171898357
28,SPORTS,0.6655450874831763
29,STYLE,0.28169014084507044
30,STYLE & BEAUTY,0.6991896808334711
31,TASTE,0.2688679245283019
32,TECH,0.46616541353383456
33,THE WORLDPOST,0.4683318465655665
34,TRAVEL,0.7326865172298428
35,U.S. NEWS,0.19690576652601968
36,WEDDINGS,0.7099644128113879
37,WEIRD NEWS,0.28297055057618437
38,WELLNESS,0.5967127867025722
39,WOMEN,0.27037392138063276
40,WORLD NEWS,0.40962566844919784
41,WORLDPOST,0.3501896333754741
