,Category,F1-Score
0,ARTS,0.45141065830721006
1,ARTS & CULTURE,0.37372262773722625
2,BLACK VOICES,0.41916167664670656
3,BUSINESS,0.5325476992143658
4,COLLEGE,0.4562841530054645
5,COMEDY,0.5004686035613871
6,CRIME,0.5839080459770115
7,CULTURE & ARTS,0.47674418604651164
8,DIVORCE,0.7719465648854962
9,EDUCATION,0.3726937269372694
10,ENTERTAINMENT,0.7171924584655591
11,ENVIRONMENT,0.4224965706447188
12,FIFTY,0.16576576576576577
13,FOOD & DRINK,0.7337986041874377
14,GOOD NEWS,0.20454545454545456
15,GREEN,0.41025641025641024
16,HEALTHY LIVING,0.42948090107737513
17,HOME & LIVING,0.7407689379520366
18,IMPACT,0.34492895639392457
19,LATINO VOICES,0.3963963963963964
20,MEDIA,0.4921334172435494
21,MONEY,0.5048543689320388
22,PARENTING,0.6715435259692758
23,PARENTS,0.4409648751586966
24,POLITICS,0.7961682707514346
25,QUEER VOICES,0.7163474153765416
26,RELIGION,0.5915492957746479
27,SCIENCE,0.5500878734622144
28,SPORTS,0.7310481212920237
29,STYLE,0.4949053857350801
30,STYLE & BEAUTY,0.8369546621043628
31,TASTE,0.3423580786026201
32,TECH,0.5155420773313116
33,THE WORLDPOST,0.5002221235006664
34,TRAVEL,0.8037629971942565
35,U.S. NEWS,0.064
36,WEDDINGS,0.8156723063223509
37,WEIRD NEWS,0.38275251033668045
38,WELLNESS,0.7470536499560246
39,WOMEN,0.37569573283859
40,WORLD NEWS,0.3180291153415454
41,WORLDPOST,0.5471324983520105
