,Category,F1-Score
0,ARTS,0.21076233183856502
1,ARTS & CULTURE,0.07627118644067797
2,BLACK VOICES,0.27266187050359714
3,BUSINESS,0.2763657610283377
4,COLLEGE,0.19130434782608696
5,COMEDY,0.30822464732499333
6,CRIME,0.37059073523161923
7,CULTURE & ARTS,0.14736842105263157
8,DIVORCE,0.5330964015992892
9,EDUCATION,0.25084745762711863
10,ENTERTAINMENT,0.49735976885523564
11,ENVIRONMENT,0.1952326901248581
12,FIFTY,0.19097586568730326
13,FOOD & DRINK,0.533047899384533
14,GOOD NEWS,0.1547212741751991
15,GREEN,0.1768976897689769
16,HEALTHY LIVING,0.1985748218527316
17,HOME & LIVING,0.5377258235919234
18,IMPACT,0.1984732824427481
19,LATINO VOICES,0.14652014652014653
20,MEDIA,0.2876784769962983
21,MONEY,0.2112676056338028
22,PARENTING,0.3990309742169926
23,PARENTS,0.167983367983368
24,POLITICS,0.6697226886942313
25,QUEER VOICES,0.5155410142556672
26,RELIGION,0.3115124153498871
27,SCIENCE,0.35621198957428324
28,SPORTS,0.5296562145825463
29,STYLE,0.13911742707554225
30,STYLE & BEAUTY,0.4793581815142905
31,TASTE,0.18095238095238095
32,TECH,0.26666666666666666
33,THE WORLDPOST,0.29689067201604813
34,TRAVEL,0.582901554404145
35,U.S. NEWS,0.040229885057471264
36,WEDDINGS,0.580887885628292
37,WEIRD NEWS,0.19087719298245615
38,WELLNESS,0.49812562860016457
39,WOMEN,0.22764976958525346
40,WORLD NEWS,0.1579937304075235
41,WORLDPOST,0.15405968077723803
