,Category,F1-Score
0,ARTS,0.2553699284009546
1,ARTS & CULTURE,0.18651362984218078
2,BLACK VOICES,0.37366003062787134
3,BUSINESS,0.4356549154485526
4,COLLEGE,0.3762962962962963
5,COMEDY,0.3962568570506615
6,CRIME,0.507168458781362
7,CULTURE & ARTS,0.3287671232876712
8,DIVORCE,0.6756630991158679
9,EDUCATION,0.30874785591766724
10,ENTERTAINMENT,0.6363456594819062
11,ENVIRONMENT,0.2942528735632184
12,FIFTY,0.23751387347391786
13,FOOD & DRINK,0.597737437516443
14,GOOD NEWS,0.23136818687430477
15,GREEN,0.3492063492063492
16,HEALTHY LIVING,0.26944245034697295
17,HOME & LIVING,0.6648416112631991
18,IMPACT,0.29597282872392044
19,LATINO VOICES,0.3135464231354642
20,MEDIA,0.4395844723892838
21,MONEY,0.34532374100719426
22,PARENTING,0.5005590756615729
23,PARENTS,0.2889155662264906
24,POLITICS,0.7424111014744146
25,QUEER VOICES,0.6262270324691669
26,RELIGION,0.4089323098394976
27,SCIENCE,0.4330827067669173
28,SPORTS,0.6666666666666666
29,STYLE,0.27708179808400885
30,STYLE & BEAUTY,0.6939046669988373
31,TASTE,0.25709779179810727
32,TECH,0.44970414201183434
33,THE WORLDPOST,0.4519362186788155
34,TRAVEL,0.722810556396033
35,U.S. NEWS,0.19428571428571428
36,WEDDINGS,0.6970102632753236
37,WEIRD NEWS,0.3038461538461538
38,WELLNESS,0.5923312598644508
39,WOMEN,0.2779086198775318
40,WORLD NEWS,0.3974151857835218
41,WORLDPOST,0.31794871794871793
