,Category,F1-Score
0,ARTS,0.0
1,ARTS & CULTURE,0.0
2,BLACK VOICES,0.0
3,BUSINESS,0.38064516129032255
4,COLLEGE,0.21922428330522767
5,COMEDY,0.0
6,CRIME,0.40997732426303857
7,CULTURE & ARTS,0.0
8,DIVORCE,0.5994666666666667
9,EDUCATION,0.0
10,ENTERTAINMENT,0.6210106382978723
11,ENVIRONMENT,0.0
12,FIFTY,0.0
13,FOOD & DRINK,0.6442370306056002
14,GOOD NEWS,0.0
15,GREEN,0.11016144349477683
16,HEALTHY LIVING,0.07363420427553444
17,HOME & LIVING,0.417448923246825
18,IMPACT,0.0019120458891013384
19,LATINO VOICES,0.0
20,MEDIA,0.0
21,MONEY,0.031746031746031744
22,PARENTING,0.4917519566526189
23,PARENTS,0.0
24,POLITICS,0.7186994375529702
25,QUEER VOICES,0.47556528081692195
26,RELIGION,0.0446168768186227
27,SCIENCE,0.15789473684210525
28,SPORTS,0.6233766233766234
29,STYLE,0.002932551319648094
30,STYLE & BEAUTY,0.6250523669878508
31,TASTE,0.0
32,TECH,0.0
33,THE WORLDPOST,0.3739413680781759
34,TRAVEL,0.5862024165259192
35,U.S. NEWS,0.0
36,WEDDINGS,0.5507425742574258
37,WEIRD NEWS,0.07322175732217573
38,WELLNESS,0.6226374416097736
39,WOMEN,0.030658250676284943
40,WORLD NEWS,0.0
41,WORLDPOST,0.19193857965451055
