,Category,F1-Score
0,ARTS,0.48053392658509453
1,ARTS & CULTURE,0.42045454545454547
2,BLACK VOICES,0.45
3,BUSINESS,0.5454052588777446
4,COLLEGE,0.49554896142433236
5,COMEDY,0.5246231155778894
6,CRIME,0.5904230590423059
7,CULTURE & ARTS,0.5053763440860215
8,DIVORCE,0.8013665202537823
9,EDUCATION,0.3940520446096654
10,ENTERTAINMENT,0.7392640894271076
11,ENVIRONMENT,0.49047013977128334
12,FIFTY,0.3562753036437247
13,FOOD & DRINK,0.7502502502502503
14,GOOD NEWS,0.256
15,GREEN,0.43880428652002257
16,HEALTHY LIVING,0.45407183986838495
17,HOME & LIVING,0.7704160246533128
18,IMPACT,0.3780241935483871
19,LATINO VOICES,0.48639455782312924
20,MEDIA,0.5056890012642224
21,MONEY,0.5269582909460834
22,PARENTING,0.6997893258426966
23,PARENTS,0.4399624765478424
24,POLITICS,0.8058745481996614
25,QUEER VOICES,0.7313077939233817
26,RELIGION,0.5995836224843858
27,SCIENCE,0.5762987012987013
28,SPORTS,0.7405525563671007
29,STYLE,0.5308823529411765
30,STYLE & BEAUTY,0.8376125375125042
31,TASTE,0.38121047877145436
32,TECH,0.5520431765612953
33,THE WORLDPOST,0.556995976754582
34,TRAVEL,0.8144399460188934
35,U.S. NEWS,0.2518518518518518
36,WEDDINGS,0.819859402460457
37,WEIRD NEWS,0.3850415512465374
38,WELLNESS,0.7619211272446087
39,WOMEN,0.38647830474268413
40,WORLD NEWS,0.42992623814541625
41,WORLDPOST,0.6292270531400966
